id,name,followers,popularity,genres,main_genre
6YROFUbu5zRCHi2xkir5pk,Brian Hyland,67223,47,[],Pop
5tFRohaO5yEsuJxmMnlCO9,Barns Courtney,602647,62,[],Electronic
3w1Q754jb31h5CXQCcnLNL,Capcom Sound Team,210392,58,"['japanese vgm', 'soundtrack']",Electronic
3oDbviiivRWhXwIE8hxkVV,The Beach Boys,5139194,76,['baroque pop'],Classical
60zvRmhQHRxokEB1taAVpN,Beth Malone,1569,29,['musicals'],Classical
4hxDvVq5t8ebPYPdBl1F9f,HELLYEAH,769490,52,"['groove metal', 'metal']",Rock
2jwRHcdgkRhelYEMqndDKe,Yxngxr1,143628,45,[],Hip-Hop
07d5etnpjriczFBB8pxmRe,BJ The Chicago Kid,464821,59,[],Hip-Hop
50bY8HGxT0SuDgJX3AilTT,Sesame Street,138888,65,"[""children's music""]",Folk
3hyGGjxu73JuzBa757H6R5,The Mountain Goats,419856,57,"['folk punk', 'anti-folk', 'indie folk']",Folk
0KUfoAHP20vQHuDhiEAa8r,Cookie Monster,41911,56,"[""children's music""]",Folk
5ns1lY8egNoPsITbbNpli6,Clorofila,20782,16,"['mexican indie', 'latin alternative', 'electrocumbia']",Electronic
41x3tK4pmcp109A09rYtxj,Ram-Zet,4100,7,"['avant-garde', 'progressive metal', 'gothic metal', 'industrial metal']",Rock
7EEiVZvj6RCEtVX2F2pyxu,Slim Jxmmi,117904,54,[],Hip-Hop
5i4JbHYkeCa702YXS68RGf,Catherine Zeta-Jones,25737,51,['musicals'],Classical
1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,3146480,79,[],Hip-Hop
7If8DXZN7mlGdQkLE2FaMo,The Gaslight Anthem,362398,52,[],Rock
6cutt8thPFUICMfxaYerWd,MY FIRST STORY,718506,60,"['j-rock', 'j-pop', 'anime']",Pop
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,7811582,72,[],Hip-Hop
2TkSDFFCkyiMrHyL1a5BbF,Laura Osnes,16585,42,['musicals'],Classical
6pdcQa7by8IKuoVXvgknlI,Rilès,929303,63,['french rap'],Hip-Hop
3bW9aRkzZhlE53ca3djW8Z,Jeanine Tesori,1658,35,['musicals'],Classical
498OLUGBV0hSPmRHokzvaA,Alexander Hanson,687,41,[],Classical
0CKa42Jqrc9fSFbDjePaXP,Big K.R.I.T.,950632,58,['southern hip hop'],Hip-Hop
1cHFz6lrt7KAsBV8j2Ny1g,The Blues Brothers,448981,56,"['blues', 'blues rock']",Blues
47mxBSV8e4ssFImQjxzePn,Suis La Lune,29185,32,"['screamo', 'midwest emo', 'post-hardcore', 'emo', 'mathcore', 'math rock']",Rock
3rpd8ePtYWGXq5te4laEwY,Harriet Harris,270,24,['musicals'],Classical
7iHXhGerkdpvUAIb67GCSj,Diana Panton,21816,39,"['vocal jazz', 'french jazz']",Jazz
0oE1QxknblYdWQt51QjyrG,Michael Cerveris,2755,31,['musicals'],Classical
6vr32iVlTxTUGGXiEHgiqe,Ryan Silverman,125,8,['musicals'],Classical
4YAN46l70QV0PGXlMg0iHi,Dillinger Four,36619,35,"['punk', 'skate punk', 'melodic hardcore', 'pop punk']",Rock
27R1aBy7FfkYevfYen4sMp,George Birge,75043,54,['country'],Country
0k9kVbqy5B8J1jbQm4XcMA,Roberta Colindrez,91,12,['musicals'],Classical
1vrC8QDkFBw7mkWShqEcXZ,Lisa Kron,135,31,['musicals'],Classical
743OB85I8BftMRfuNAO1RS,Ann Harada,1053,35,['musicals'],Classical
4NgfOZCL9Ml67xzM0xzIvC,Janis Joplin,3604137,62,"['classic rock', 'psychedelic rock', 'acid rock']",Rock
7tHd518aPjJYUgyv9bidBz,Judy Kuhn,37426,55,[],Classical
7arQA31aZVS8yS6zUveWzb,CJ,282841,62,['dembow'],Hip-Hop
3FCu4XKU7SMobrCqEnTRSJ,Little Apple Band,6963,33,[],Folk
5rX1EodZfwxmW4fQX2Caot,Jonny Lang,265349,48,"['blues', 'blues rock', 'modern blues']",Blues
4QGKWF55nqfGYToZkoZPRF,One Morning Left,38169,34,"['metalcore', 'post-hardcore']",Rock
1fZpYWNWdL5Z3wrDtISFUH,Shakey Graves,594751,58,['indie folk'],Folk
51Blml2LZPmy7TTiAg47vQ,U2,13715623,78,['rock'],Rock
3UUl93ABT7zywawX0QA7MC,Breadwinner,5014,16,"['math rock', 'noise rock', 'mathcore', 'post-hardcore']",Rock
4pFb5Ycz7oHBhVS623cMdf,Emily Skeggs,666,23,['musicals'],Classical
1PoFNQQDFXvOYm6Dx8coAa,Esmé Patterson,28777,23,[],Country
2NC0NvcP3iJvpCPepplwof,Sydney Lucas,326,26,['musicals'],Classical
6RvruFAgvsAb4B82u8wsSH,Envy On The Coast,37014,31,['post-hardcore'],Rock
3Q6OOkfssqoMSTtl11J5Uk,Love,273598,46,"['psychedelic rock', 'baroque pop', 'acid rock', 'proto-punk']",Rock
55CXG5KDJpRYwBopfYAJHa,Jorma Kaukonen,34539,35,"['jam band', 'country blues']",Blues
4TbtUt49IMXEIMmNdifHb1,Stephen Sondheim,93717,51,['musicals'],Classical
4PLsMEk2DCRVlVL2a9aZAv,SOAK,88596,42,[],Folk
6UWtYhPTWb5rOmlaXqf1h6,Marla Mindelle,96,24,['musicals'],Classical
2sYkCcYzUQfNjOtw0mIOJL,Onsind,10756,18,"['folk punk', 'queercore', 'anti-folk']",Folk
1TRVqozKc5Qk1cjwRdWBSl,Secrets,141707,40,"['post-hardcore', 'metalcore', 'screamo']",Rock
5spEJXLwD1sKUdC2bnOHPg,Bone Thugs-N-Harmony,3329701,67,"['gangster rap', 'old school hip hop', 'g-funk']",Hip-Hop
3HQyFCFFfJO3KKBlUfZsyW,Randy Newman,277739,61,[],Classical
